alpha,Model,Target,Fold,max_depth,min_samples_leaf,min_samples_split,n_estimators,learning_rate
100.0,Ridge,reads,0,,,,,
,RF,reads,0,3.0,1.0,2.0,200.0,
,XGBoost,reads,0,3.0,,,500.0,0.1
,LightGBM,reads,0,3.0,,,100.0,0.05
100.0,Ridge,reads,1,,,,,
,RF,reads,1,3.0,2.0,2.0,200.0,
,XGBoost,reads,1,3.0,,,200.0,0.1
,LightGBM,reads,1,3.0,,,100.0,0.05
100.0,Ridge,reads,2,,,,,
,RF,reads,2,3.0,1.0,5.0,200.0,
,XGBoost,reads,2,3.0,,,500.0,0.1
,LightGBM,reads,2,3.0,,,100.0,0.05
100.0,Ridge,ZOTUs,0,,,,,
,RF,ZOTUs,0,3.0,1.0,2.0,200.0,
,XGBoost,ZOTUs,0,3.0,,,200.0,0.05
,LightGBM,ZOTUs,0,3.0,,,100.0,0.05
100.0,Ridge,ZOTUs,1,,,,,
,RF,ZOTUs,1,3.0,1.0,2.0,500.0,
,XGBoost,ZOTUs,1,3.0,,,500.0,0.05
,LightGBM,ZOTUs,1,3.0,,,100.0,0.05
100.0,Ridge,ZOTUs,2,,,,,
,RF,ZOTUs,2,3.0,1.0,5.0,200.0,
,XGBoost,ZOTUs,2,3.0,,,200.0,0.1
,LightGBM,ZOTUs,2,3.0,,,100.0,0.05
100.0,Ridge,Monothalamida,0,,,,,
,RF,Monothalamida,0,3.0,1.0,2.0,500.0,
,XGBoost,Monothalamida,0,5.0,,,500.0,0.05
,LightGBM,Monothalamida,0,3.0,,,100.0,0.05
100.0,Ridge,Monothalamida,1,,,,,
,RF,Monothalamida,1,5.0,2.0,2.0,200.0,
,XGBoost,Monothalamida,1,3.0,,,500.0,0.05
,LightGBM,Monothalamida,1,3.0,,,100.0,0.05
100.0,Ridge,Monothalamida,2,,,,,
,RF,Monothalamida,2,3.0,1.0,5.0,500.0,
,XGBoost,Monothalamida,2,3.0,,,500.0,0.05
,LightGBM,Monothalamida,2,3.0,,,100.0,0.05
