Target,Fold,Model,Feature,MeanAbsSHAP
reads,0,XGBoost,Sediment_PC1,11328.419921875
reads,0,XGBoost,Sediment_PC2,9062.1943359375
reads,0,XGBoost,Major_PC1,49834.296875
reads,0,XGBoost,Major_PC2,8.711488723754883
reads,0,XGBoost,Trace_PC1,7534.80322265625
reads,0,XGBoost,Trace_PC2,16915.587890625
reads,0,XGBoost,Organic_PC1,126.62889862060547
reads,0,XGBoost,Organic_PC2,8131.7919921875
reads,0,RF,Sediment_PC1,4153.2528660452535
reads,0,RF,Sediment_PC2,1582.8067937420103
reads,0,RF,Major_PC1,10857.178708310134
reads,0,RF,Major_PC2,11810.916928215862
reads,0,RF,Trace_PC1,4126.200250502875
reads,0,RF,Trace_PC2,9684.71548072198
reads,0,RF,Organic_PC1,9769.418461274354
reads,0,RF,Organic_PC2,8192.479237578
reads,0,LightGBM,Sediment_PC1,0.0
reads,0,LightGBM,Sediment_PC2,0.0
reads,0,LightGBM,Major_PC1,0.0
reads,0,LightGBM,Major_PC2,0.0
reads,0,LightGBM,Trace_PC1,0.0
reads,0,LightGBM,Trace_PC2,0.0
reads,0,LightGBM,Organic_PC1,0.0
reads,0,LightGBM,Organic_PC2,0.0
reads,1,XGBoost,Sediment_PC1,16034.6533203125
reads,1,XGBoost,Sediment_PC2,2109.416015625
reads,1,XGBoost,Major_PC1,829.7230224609375
reads,1,XGBoost,Major_PC2,1347.71728515625
reads,1,XGBoost,Trace_PC1,6493.11376953125
reads,1,XGBoost,Trace_PC2,9958.4345703125
reads,1,XGBoost,Organic_PC1,4586.72998046875
reads,1,XGBoost,Organic_PC2,570.6395874023438
reads,1,RF,Sediment_PC1,6321.169423154571
reads,1,RF,Sediment_PC2,780.0974994054363
reads,1,RF,Major_PC1,3236.0754512940543
reads,1,RF,Major_PC2,1370.3573065750988
reads,1,RF,Trace_PC1,7981.9561565667045
reads,1,RF,Trace_PC2,13228.653795591254
reads,1,RF,Organic_PC1,3206.9318291727145
reads,1,RF,Organic_PC2,1192.7427373634541
reads,1,LightGBM,Sediment_PC1,0.0
reads,1,LightGBM,Sediment_PC2,0.0
reads,1,LightGBM,Major_PC1,0.0
reads,1,LightGBM,Major_PC2,0.0
reads,1,LightGBM,Trace_PC1,0.0
reads,1,LightGBM,Trace_PC2,0.0
reads,1,LightGBM,Organic_PC1,0.0
reads,1,LightGBM,Organic_PC2,0.0
reads,2,XGBoost,Sediment_PC1,7041.49462890625
reads,2,XGBoost,Sediment_PC2,1927.6143798828125
reads,2,XGBoost,Major_PC1,19742.703125
reads,2,XGBoost,Major_PC2,6635.5380859375
reads,2,XGBoost,Trace_PC1,16791.630859375
reads,2,XGBoost,Trace_PC2,2249.66650390625
reads,2,XGBoost,Organic_PC1,3875.979248046875
reads,2,XGBoost,Organic_PC2,3724.001220703125
reads,2,RF,Sediment_PC1,4713.031796334742
reads,2,RF,Sediment_PC2,359.8948461197482
reads,2,RF,Major_PC1,9890.308842939414
reads,2,RF,Major_PC2,4442.3016040629545
reads,2,RF,Trace_PC1,8730.724277258352
reads,2,RF,Trace_PC2,2356.2984661097576
reads,2,RF,Organic_PC1,700.201460936584
reads,2,RF,Organic_PC2,7647.505069916594
reads,2,LightGBM,Sediment_PC1,27732.055188987455
reads,2,LightGBM,Sediment_PC2,8250.751870394994
reads,2,LightGBM,Major_PC1,0.0
reads,2,LightGBM,Major_PC2,7523.146525190931
reads,2,LightGBM,Trace_PC1,0.0
reads,2,LightGBM,Trace_PC2,17235.120178604124
reads,2,LightGBM,Organic_PC1,1669.9121820946368
reads,2,LightGBM,Organic_PC2,3507.9078168020064
ZOTUs,0,XGBoost,Sediment_PC1,158.02139282226562
ZOTUs,0,XGBoost,Sediment_PC2,147.12667846679688
ZOTUs,0,XGBoost,Major_PC1,430.8475646972656
ZOTUs,0,XGBoost,Major_PC2,156.27554321289062
ZOTUs,0,XGBoost,Trace_PC1,138.76841735839844
ZOTUs,0,XGBoost,Trace_PC2,10.573562622070312
ZOTUs,0,XGBoost,Organic_PC1,238.1218719482422
ZOTUs,0,XGBoost,Organic_PC2,644.3261108398438
ZOTUs,0,RF,Sediment_PC1,70.41202176520092
ZOTUs,0,RF,Sediment_PC2,45.159468327368046
ZOTUs,0,RF,Major_PC1,84.06216517665798
ZOTUs,0,RF,Major_PC2,103.74711927108406
ZOTUs,0,RF,Trace_PC1,42.415458608644286
ZOTUs,0,RF,Trace_PC2,15.082636627457171
ZOTUs,0,RF,Organic_PC1,414.10536444043674
ZOTUs,0,RF,Organic_PC2,244.9542882429075
ZOTUs,0,LightGBM,Sediment_PC1,0.0
ZOTUs,0,LightGBM,Sediment_PC2,0.0
ZOTUs,0,LightGBM,Major_PC1,0.0
ZOTUs,0,LightGBM,Major_PC2,0.0
ZOTUs,0,LightGBM,Trace_PC1,0.0
ZOTUs,0,LightGBM,Trace_PC2,0.0
ZOTUs,0,LightGBM,Organic_PC1,0.0
ZOTUs,0,LightGBM,Organic_PC2,0.0
ZOTUs,1,XGBoost,Sediment_PC1,147.13873291015625
ZOTUs,1,XGBoost,Sediment_PC2,67.20820617675781
ZOTUs,1,XGBoost,Major_PC1,96.54316711425781
ZOTUs,1,XGBoost,Major_PC2,96.6878662109375
ZOTUs,1,XGBoost,Trace_PC1,52.63720703125
ZOTUs,1,XGBoost,Trace_PC2,225.35951232910156
ZOTUs,1,XGBoost,Organic_PC1,283.89849853515625
ZOTUs,1,XGBoost,Organic_PC2,97.4994888305664
ZOTUs,1,RF,Sediment_PC1,57.88443727874642
ZOTUs,1,RF,Sediment_PC2,9.462805330470799
ZOTUs,1,RF,Major_PC1,93.09991392817679
ZOTUs,1,RF,Major_PC2,61.23663760803698
ZOTUs,1,RF,Trace_PC1,65.77282424962453
ZOTUs,1,RF,Trace_PC2,182.68025949908636
ZOTUs,1,RF,Organic_PC1,186.56742276012403
ZOTUs,1,RF,Organic_PC2,79.77248589724614
ZOTUs,1,LightGBM,Sediment_PC1,0.0
ZOTUs,1,LightGBM,Sediment_PC2,0.0
ZOTUs,1,LightGBM,Major_PC1,0.0
ZOTUs,1,LightGBM,Major_PC2,0.0
ZOTUs,1,LightGBM,Trace_PC1,0.0
ZOTUs,1,LightGBM,Trace_PC2,0.0
ZOTUs,1,LightGBM,Organic_PC1,0.0
ZOTUs,1,LightGBM,Organic_PC2,0.0
ZOTUs,2,XGBoost,Sediment_PC1,193.1366424560547
ZOTUs,2,XGBoost,Sediment_PC2,57.6511116027832
ZOTUs,2,XGBoost,Major_PC1,163.81166076660156
ZOTUs,2,XGBoost,Major_PC2,141.19467163085938
ZOTUs,2,XGBoost,Trace_PC1,265.763671875
ZOTUs,2,XGBoost,Trace_PC2,60.147212982177734
ZOTUs,2,XGBoost,Organic_PC1,119.436279296875
ZOTUs,2,XGBoost,Organic_PC2,101.39422607421875
ZOTUs,2,RF,Sediment_PC1,71.5276688338579
ZOTUs,2,RF,Sediment_PC2,12.499245130975575
ZOTUs,2,RF,Major_PC1,199.3602627306496
ZOTUs,2,RF,Major_PC2,76.63557351659188
ZOTUs,2,RF,Trace_PC1,108.95470549661202
ZOTUs,2,RF,Trace_PC2,19.648600370668962
ZOTUs,2,RF,Organic_PC1,38.83538918945754
