Target,Fold,Model,Feature,MeanAbsSHAP
reads,0,XGBoost,Sediment_PC1,19314.666015625
reads,0,XGBoost,Sediment_PC2,1287.9219970703125
reads,0,XGBoost,Major_PC1,17742.599609375
reads,0,XGBoost,Major_PC2,7058.83984375
reads,0,XGBoost,Trace_PC1,9878.1416015625
reads,0,XGBoost,Trace_PC2,11421.712890625
reads,0,XGBoost,Organic_PC1,6094.4384765625
reads,0,XGBoost,Organic_PC2,8177.59619140625
reads,0,RF,Sediment_PC1,7755.44378110811
reads,0,RF,Sediment_PC2,382.2441151026014
reads,0,RF,Major_PC1,23452.68534691494
reads,0,RF,Major_PC2,2840.569859308707
reads,0,RF,Trace_PC1,9959.53986206458
reads,0,RF,Trace_PC2,8647.422734315322
reads,0,RF,Organic_PC1,1731.801509101571
reads,0,RF,Organic_PC2,3396.247559203463
reads,0,LightGBM,Sediment_PC1,0.0
reads,0,LightGBM,Sediment_PC2,0.0
reads,0,LightGBM,Major_PC1,0.0
reads,0,LightGBM,Major_PC2,0.0
reads,0,LightGBM,Trace_PC1,0.0
reads,0,LightGBM,Trace_PC2,0.0
reads,0,LightGBM,Organic_PC1,0.0
reads,0,LightGBM,Organic_PC2,0.0
reads,1,XGBoost,Sediment_PC1,12279.796875
reads,1,XGBoost,Sediment_PC2,1329.97705078125
reads,1,XGBoost,Major_PC1,2090.319580078125
reads,1,XGBoost,Major_PC2,1096.606201171875
reads,1,XGBoost,Trace_PC1,10442.85546875
reads,1,XGBoost,Trace_PC2,20643.31640625
reads,1,XGBoost,Organic_PC1,3321.850830078125
reads,1,XGBoost,Organic_PC2,1926.730224609375
reads,1,RF,Sediment_PC1,11291.114949611996
reads,1,RF,Sediment_PC2,1804.1816004218485
reads,1,RF,Major_PC1,2515.3492968366054
reads,1,RF,Major_PC2,750.3162081583307
reads,1,RF,Trace_PC1,7608.180084254034
reads,1,RF,Trace_PC2,7423.786384880225
reads,1,RF,Organic_PC1,1698.5920358376788
reads,1,RF,Organic_PC2,982.770677855576
reads,1,LightGBM,Sediment_PC1,0.0
reads,1,LightGBM,Sediment_PC2,0.0
reads,1,LightGBM,Major_PC1,0.0
reads,1,LightGBM,Major_PC2,0.0
reads,1,LightGBM,Trace_PC1,0.0
reads,1,LightGBM,Trace_PC2,0.0
reads,1,LightGBM,Organic_PC1,0.0
reads,1,LightGBM,Organic_PC2,0.0
reads,2,XGBoost,Sediment_PC1,3022.627197265625
reads,2,XGBoost,Sediment_PC2,13453.3935546875
reads,2,XGBoost,Major_PC1,25235.70703125
reads,2,XGBoost,Major_PC2,5382.8916015625
reads,2,XGBoost,Trace_PC1,4421.64990234375
reads,2,XGBoost,Trace_PC2,31460.099609375
reads,2,XGBoost,Organic_PC1,4983.98046875
reads,2,XGBoost,Organic_PC2,2753.95556640625
reads,2,RF,Sediment_PC1,1722.1707829864267
reads,2,RF,Sediment_PC2,1701.0951053078738
reads,2,RF,Major_PC1,12427.275054060327
reads,2,RF,Major_PC2,15642.115579057698
reads,2,RF,Trace_PC1,6701.2686545113775
reads,2,RF,Trace_PC2,8220.393633398115
reads,2,RF,Organic_PC1,907.3134580941944
reads,2,RF,Organic_PC2,9369.30118474977
reads,2,LightGBM,Sediment_PC1,0.0
reads,2,LightGBM,Sediment_PC2,0.0
reads,2,LightGBM,Major_PC1,0.0
reads,2,LightGBM,Major_PC2,0.0
reads,2,LightGBM,Trace_PC1,0.0
reads,2,LightGBM,Trace_PC2,0.0
reads,2,LightGBM,Organic_PC1,0.0
reads,2,LightGBM,Organic_PC2,0.0
reads,3,XGBoost,Sediment_PC1,14378.94921875
reads,3,XGBoost,Sediment_PC2,11471.2626953125
reads,3,XGBoost,Major_PC1,26840.9921875
reads,3,XGBoost,Major_PC2,10813.1416015625
reads,3,XGBoost,Trace_PC1,4357.0126953125
reads,3,XGBoost,Trace_PC2,2432.73193359375
reads,3,XGBoost,Organic_PC1,2105.236083984375
reads,3,XGBoost,Organic_PC2,3338.385498046875
reads,3,RF,Sediment_PC1,12777.973715670725
reads,3,RF,Sediment_PC2,2655.772340927803
reads,3,RF,Major_PC1,6257.397944606191
reads,3,RF,Major_PC2,15224.967972213935
reads,3,RF,Trace_PC1,1603.1158118427982
reads,3,RF,Trace_PC2,3737.55711362065
reads,3,RF,Organic_PC1,1435.160054485076
reads,3,RF,Organic_PC2,3903.6993835716357
reads,3,LightGBM,Sediment_PC1,0.0
reads,3,LightGBM,Sediment_PC2,0.0
reads,3,LightGBM,Major_PC1,0.0
reads,3,LightGBM,Major_PC2,0.0
reads,3,LightGBM,Trace_PC1,0.0
reads,3,LightGBM,Trace_PC2,0.0
reads,3,LightGBM,Organic_PC1,0.0
reads,3,LightGBM,Organic_PC2,0.0
reads,4,XGBoost,Sediment_PC1,16086.0
reads,4,XGBoost,Sediment_PC2,1680.511962890625
reads,4,XGBoost,Major_PC1,17200.9296875
reads,4,XGBoost,Major_PC2,2977.59814453125
reads,4,XGBoost,Trace_PC1,18189.33984375
reads,4,XGBoost,Trace_PC2,1776.4603271484375
reads,4,XGBoost,Organic_PC1,12326.3330078125
reads,4,XGBoost,Organic_PC2,1059.857421875
reads,4,RF,Sediment_PC1,5864.901770333692
reads,4,RF,Sediment_PC2,1431.8904548087949
reads,4,RF,Major_PC1,11837.569811041734
reads,4,RF,Major_PC2,7162.058125406649
reads,4,RF,Trace_PC1,10760.66365108796
reads,4,RF,Trace_PC2,3230.8246059028584
reads,4,RF,Organic_PC1,8848.200877157169
reads,4,RF,Organic_PC2,7881.328403844509
reads,4,LightGBM,Sediment_PC1,0.0
reads,4,LightGBM,Sediment_PC2,0.0
reads,4,LightGBM,Major_PC1,0.0
reads,4,LightGBM,Major_PC2,0.0
reads,4,LightGBM,Trace_PC1,0.0
reads,4,LightGBM,Trace_PC2,0.0
reads,4,LightGBM,Organic_PC1,0.0
reads,4,LightGBM,Organic_PC2,0.0
zotu,0,XGBoost,Sediment_PC1,213.3844451904297
zotu,0,XGBoost,Sediment_PC2,107.86442565917969
zotu,0,XGBoost,Major_PC1,286.0986328125
zotu,0,XGBoost,Major_PC2,287.66802978515625
zotu,0,XGBoost,Trace_PC1,29.30208396911621
zotu,0,XGBoost,Trace_PC2,150.4765167236328
zotu,0,XGBoost,Organic_PC1,195.79579162597656
zotu,0,XGBoost,Organic_PC2,322.40740966796875
zotu,0,RF,Sediment_PC1,74.6757964564809
zotu,0,RF,Sediment_PC2,11.636320591965788
zotu,0,RF,Major_PC1,276.12689501889383
zotu,0,RF,Major_PC2,101.13795248221318
zotu,0,RF,Trace_PC1,71.77997630813893
zotu,0,RF,Trace_PC2,78.56905471643638
zotu,0,RF,Organic_PC1,62.57048496824607
zotu,0,RF,Organic_PC2,155.43899534404528
zotu,0,LightGBM,Sediment_PC1,0.0
zotu,0,LightGBM,Sediment_PC2,0.0
zotu,0,LightGBM,Major_PC1,0.0
zotu,0,LightGBM,Major_PC2,0.0
zotu,0,LightGBM,Trace_PC1,0.0
zotu,0,LightGBM,Trace_PC2,0.0
zotu,0,LightGBM,Organic_PC1,0.0
zotu,0,LightGBM,Organic_PC2,0.0
zotu,1,XGBoost,Sediment_PC1,113.2747802734375
zotu,1,XGBoost,Sediment_PC2,68.28754425048828
zotu,1,XGBoost,Major_PC1,143.15316772460938
zotu,1,XGBoost,Major_PC2,143.63027954101562
zotu,1,XGBoost,Trace_PC1,61.2983512878418
zotu,1,XGBoost,Trace_PC2,244.70175170898438
zotu,1,XGBoost,Organic_PC1,16.207109451293945
zotu,1,XGBoost,Organic_PC2,250.2316436767578
zotu,1,RF,Sediment_PC1,70.84070521982173
zotu,1,RF,Sediment_PC2,36.373556147119835
zotu,1,RF,Major_PC1,90.25156801345645
zotu,1,RF,Major_PC2,50.32365081343591
